2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed/best_status
2022-04-04 04:13:37 |[048]options.py  | Create directory: ./experiment/qsrm_x4_mixed/visual
2022-04-04 04:13:37 |[057]options.py  | Available gpu: 0
2022-04-05 00:56:52 |[215]solver.py   | Epoch:   77 | PSNR: 27.12 | Loss: 19.0098 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 01:12:51 |[215]solver.py   | Epoch:   78 | PSNR: 27.09 | Loss: 19.0639 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 01:28:48 |[215]solver.py   | Epoch:   79 | PSNR: 27.14 | Loss: 19.0501 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 01:44:46 |[215]solver.py   | Epoch:   80 | PSNR: 27.15 | Loss: 19.1154 | Best_PSNR: 27.15 in Epoch [63]
2022-04-05 02:00:42 |[215]solver.py   | Epoch:   81 | PSNR: 27.16 | Loss: 19.0670 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 02:16:39 |[215]solver.py   | Epoch:   82 | PSNR: 27.13 | Loss: 19.0271 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 02:32:36 |[215]solver.py   | Epoch:   83 | PSNR: 27.12 | Loss: 19.0566 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 02:48:35 |[215]solver.py   | Epoch:   84 | PSNR: 27.11 | Loss: 19.0262 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 03:04:33 |[215]solver.py   | Epoch:   85 | PSNR: 27.13 | Loss: 19.0828 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 03:20:32 |[215]solver.py   | Epoch:   86 | PSNR: 27.11 | Loss: 19.0659 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 03:36:28 |[215]solver.py   | Epoch:   87 | PSNR: 27.14 | Loss: 19.0411 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 03:52:28 |[215]solver.py   | Epoch:   88 | PSNR: 27.10 | Loss: 19.0302 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 04:08:25 |[215]solver.py   | Epoch:   89 | PSNR: 27.12 | Loss: 19.0129 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 04:24:21 |[215]solver.py   | Epoch:   90 | PSNR: 27.09 | Loss: 19.0128 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 04:40:15 |[215]solver.py   | Epoch:   91 | PSNR: 27.14 | Loss: 18.9902 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 04:56:08 |[215]solver.py   | Epoch:   92 | PSNR: 27.14 | Loss: 19.0591 | Best_PSNR: 27.16 in Epoch [81]
2022-04-05 05:12:02 |[215]solver.py   | Epoch:   93 | PSNR: 27.16 | Loss: 19.0475 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 05:27:58 |[215]solver.py   | Epoch:   94 | PSNR: 27.16 | Loss: 19.0014 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 05:43:56 |[215]solver.py   | Epoch:   95 | PSNR: 27.14 | Loss: 19.0768 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 05:59:53 |[215]solver.py   | Epoch:   96 | PSNR: 27.16 | Loss: 19.0805 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 06:15:52 |[215]solver.py   | Epoch:   97 | PSNR: 27.13 | Loss: 18.9723 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 06:31:50 |[215]solver.py   | Epoch:   98 | PSNR: 27.13 | Loss: 18.9877 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 06:47:45 |[215]solver.py   | Epoch:   99 | PSNR: 27.11 | Loss: 19.0148 | Best_PSNR: 27.16 in Epoch [93]
2022-04-05 07:03:41 |[215]solver.py   | Epoch:  100 | PSNR: 27.17 | Loss: 18.9220 | Best_PSNR: 27.17 in Epoch [100]
2022-04-05 07:19:37 |[215]solver.py   | Epoch:  101 | PSNR: 27.19 | Loss: 18.8252 | Best_PSNR: 27.19 in Epoch [101]
2022-04-05 07:35:35 |[215]solver.py   | Epoch:  102 | PSNR: 27.17 | Loss: 18.8676 | Best_PSNR: 27.19 in Epoch [101]
2022-04-05 07:51:31 |[215]solver.py   | Epoch:  103 | PSNR: 27.17 | Loss: 18.8996 | Best_PSNR: 27.19 in Epoch [101]
2022-04-05 08:07:28 |[215]solver.py   | Epoch:  104 | PSNR: 27.19 | Loss: 18.8546 | Best_PSNR: 27.19 in Epoch [104]
2022-04-05 08:23:25 |[215]solver.py   | Epoch:  105 | PSNR: 27.19 | Loss: 18.9004 | Best_PSNR: 27.19 in Epoch [105]
2022-04-05 08:39:23 |[215]solver.py   | Epoch:  106 | PSNR: 27.19 | Loss: 18.9054 | Best_PSNR: 27.19 in Epoch [105]
2022-04-05 08:55:15 |[215]solver.py   | Epoch:  107 | PSNR: 27.19 | Loss: 18.8671 | Best_PSNR: 27.19 in Epoch [105]
2022-04-05 09:11:07 |[215]solver.py   | Epoch:  108 | PSNR: 27.20 | Loss: 18.7945 | Best_PSNR: 27.20 in Epoch [108]
2022-04-05 09:27:01 |[215]solver.py   | Epoch:  109 | PSNR: 27.20 | Loss: 18.8210 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 09:42:54 |[215]solver.py   | Epoch:  110 | PSNR: 27.14 | Loss: 18.8200 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 09:58:50 |[215]solver.py   | Epoch:  111 | PSNR: 27.18 | Loss: 18.8079 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 10:14:48 |[215]solver.py   | Epoch:  112 | PSNR: 27.17 | Loss: 18.8003 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 10:30:46 |[215]solver.py   | Epoch:  113 | PSNR: 27.19 | Loss: 18.8290 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 10:46:41 |[215]solver.py   | Epoch:  114 | PSNR: 27.17 | Loss: 18.8145 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 11:02:40 |[215]solver.py   | Epoch:  115 | PSNR: 27.19 | Loss: 18.8616 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 11:18:36 |[215]solver.py   | Epoch:  116 | PSNR: 27.19 | Loss: 18.8460 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 11:34:34 |[215]solver.py   | Epoch:  117 | PSNR: 27.20 | Loss: 18.7955 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 11:50:34 |[215]solver.py   | Epoch:  118 | PSNR: 27.18 | Loss: 18.8508 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 12:06:32 |[215]solver.py   | Epoch:  119 | PSNR: 27.19 | Loss: 18.8278 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 12:22:30 |[215]solver.py   | Epoch:  120 | PSNR: 27.19 | Loss: 18.8239 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 12:38:27 |[215]solver.py   | Epoch:  121 | PSNR: 27.18 | Loss: 18.8524 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 12:54:26 |[215]solver.py   | Epoch:  122 | PSNR: 27.19 | Loss: 18.8098 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 13:10:25 |[215]solver.py   | Epoch:  123 | PSNR: 27.19 | Loss: 18.8466 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 13:26:22 |[215]solver.py   | Epoch:  124 | PSNR: 27.17 | Loss: 18.7913 | Best_PSNR: 27.20 in Epoch [109]
2022-04-05 13:42:20 |[215]solver.py   | Epoch:  125 | PSNR: 27.20 | Loss: 18.8584 | Best_PSNR: 27.20 in Epoch [125]
2022-04-05 13:58:19 |[215]solver.py   | Epoch:  126 | PSNR: 27.19 | Loss: 18.7801 | Best_PSNR: 27.20 in Epoch [125]
2022-04-05 14:14:16 |[215]solver.py   | Epoch:  127 | PSNR: 27.22 | Loss: 18.8372 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 14:30:14 |[215]solver.py   | Epoch:  128 | PSNR: 27.19 | Loss: 18.7910 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 14:46:13 |[215]solver.py   | Epoch:  129 | PSNR: 27.19 | Loss: 18.8292 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 15:02:07 |[215]solver.py   | Epoch:  130 | PSNR: 27.21 | Loss: 18.8535 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 15:18:04 |[215]solver.py   | Epoch:  131 | PSNR: 27.21 | Loss: 18.8321 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 15:34:03 |[215]solver.py   | Epoch:  132 | PSNR: 27.19 | Loss: 18.8603 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 15:50:01 |[215]solver.py   | Epoch:  133 | PSNR: 27.15 | Loss: 18.8320 | Best_PSNR: 27.22 in Epoch [127]
2022-04-05 16:06:00 |[215]solver.py   | Epoch:  134 | PSNR: 27.22 | Loss: 18.8288 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 16:21:57 |[215]solver.py   | Epoch:  135 | PSNR: 27.18 | Loss: 18.8212 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 16:37:55 |[215]solver.py   | Epoch:  136 | PSNR: 27.19 | Loss: 18.7787 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 16:53:54 |[215]solver.py   | Epoch:  137 | PSNR: 27.21 | Loss: 18.8075 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 17:09:53 |[215]solver.py   | Epoch:  138 | PSNR: 27.20 | Loss: 18.8138 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 17:25:51 |[215]solver.py   | Epoch:  139 | PSNR: 27.15 | Loss: 18.8044 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 17:41:50 |[215]solver.py   | Epoch:  140 | PSNR: 27.17 | Loss: 18.8190 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 17:57:46 |[215]solver.py   | Epoch:  141 | PSNR: 27.19 | Loss: 18.8160 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 18:13:44 |[215]solver.py   | Epoch:  142 | PSNR: 27.19 | Loss: 18.7975 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 18:29:41 |[215]solver.py   | Epoch:  143 | PSNR: 27.18 | Loss: 18.7763 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 18:45:37 |[215]solver.py   | Epoch:  144 | PSNR: 27.17 | Loss: 18.8034 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 19:01:33 |[215]solver.py   | Epoch:  145 | PSNR: 27.19 | Loss: 18.7581 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 19:17:29 |[215]solver.py   | Epoch:  146 | PSNR: 27.20 | Loss: 18.8542 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 19:33:28 |[215]solver.py   | Epoch:  147 | PSNR: 27.19 | Loss: 18.8419 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 19:49:24 |[215]solver.py   | Epoch:  148 | PSNR: 27.19 | Loss: 18.8224 | Best_PSNR: 27.22 in Epoch [134]
2022-04-05 20:05:23 |[215]solver.py   | Epoch:  149 | PSNR: 27.20 | Loss: 18.8301 | Best_PSNR: 27.22 in Epoch [134]
